saint-francis-pa
Opponent,Location,gameid
stony-brook,-1,1108
maryland-baltimore-county,-1,1109
maine,1,1110
vermont,1,1111
new-hampshire,-1,1112
massachusetts-lowell,-1,1113
binghamton,-1,1114
albany-ny,1,1115
stony-brook,1,1116

sacred-heart
Opponent,Location,gameid
holy-cross,-1,1117
army,0,1118
brown,-1,1119
massachusetts-lowell,0,1120
binghamton,-1,1121
hartford,1,1122
boston-college,-1,1123
lafayette,-1,1124
dartmouth,-1,1125
seton-hall,-1,1126
st-johns-ny,-1,1127
massachusetts-lowell,1,1128
long-island-university,1,1129
central-connecticut-state,1,1130
wagner,-1,1131
bryant,1,1132
st-francis-ny,-1,1133
wagner,1,1134
robert-morris,-1,1135
saint-francis-pa,-1,1136
mount-st-marys,-1,1137
st-francis-ny,1,1138
fairleigh-dickinson,1,1139
mount-st-marys,1,1140
bryant,-1,1141
long-island-university,-1,1142
fairleigh-dickinson,-1,1143
central-connecticut-state,-1,1144
robert-morris,1,1145
saint-francis-pa,1,1146

holy-cross
Opponent,Location,gameid
sacred-heart,1,1147
michigan,-1,1148
providence,-1,1149
stony-brook,0,1150
siena,0,1151
albany-ny,-1,1152
harvard,-1,1153
fairleigh-dickinson,1,1154
massachusetts,-1,1155
rhode-island,1,1156
canisius,1,1157
siena,1,1158
iona,-1,1159
loyola-md,-1,1160
navy,-1,1161
lehigh,1,1162
lafayette,1,1163
bucknell,-1,1164
loyola-md,1,1165
army,-1,1166
navy,1,1167
boston-university,-1,1168
american,-1,1169
army,1,1170
lafayette,-1,1171
colgate,1,1172
bucknell,1,1173
boston-university,1,1174
lehigh,-1,1175
colgate,-1,1176
american,1,1177

florida-gulf-coast
Opponent,Location,gameid
illinois-state,-1,1178
michigan-state,-1,1179
south-dakota-state,1,1180
toledo,0,1181
colorado-state,0,1182
texas-san-antonio,0,1183
florida-atlantic,-1,1184
florida-international,1,1185
colgate,1,1186
oral-roberts,-1,1187
maryland-baltimore-county,-1,1188
florida,0,1189
mississippi,-1,1190
liberty,1,1191
north-alabama,-1,1192
north-florida,-1,1193
kennesaw-state,-1,1194
stetson,1,1195
lipscomb,-1,1196
north-florida,1,1197
njit,-1,1198
jacksonville,1,1199
north-alabama,1,1200
liberty,-1,1201
njit,1,1202
stetson,-1,1203
lipscomb,1,1204
kennesaw-state,1,1205
jacksonville,-1,1206

illinois-state
Opponent,Location,gameid
florida-gulf-coast,1,1207
belmont,-1,1208
chicago-state,1,1209
georgia,0,1210
akron,0,1211
boise-state,0,1212
brigham-young,1,1213
san-diego-state,1,1214
illinois-chicago,-1,1215
mississippi,1,1216
cleveland-state,1,1217
central-florida,-1,1218
valparaiso,-1,1219
evansville,1,1220
northern-iowa,1,1221
loyola-il,-1,1222
southern-illinois,1,1223
evansville,-1,1224
bradley,-1,1225
indiana-state,1,1226
drake,-1,1227
loyola-il,1,1228
valparaiso,1,1229
missouri-state,-1,1230
northern-iowa,-1,1231
bradley,1,1232
indiana-state,-1,1233
drake,1,1234
missouri-state,1,1235
southern-illinois,-1,1236

florida-am
Opponent,Location,gameid
jacksonville,-1,1237
campbell,0,1238
central-connecticut-state,0,1239
south-florida,-1,1240
loyola-marymount,-1,1241
north-florida,-1,1242
south-alabama,-1,1243
depaul,-1,1244
georgia-tech,-1,1245
utah,-1,1246
oregon,-1,1247
portland,-1,1248
memphis,-1,1249
howard,-1,1250
norfolk-state,-1,1251
savannah-state,1,1252
maryland-eastern-shore,1,1253
delaware-state,1,1254
coppin-state,-1,1255
morgan-state,-1,1256
north-carolina-at,1,1257
north-carolina-central,1,1258
howard,1,1259
norfolk-state,1,1260
savannah-state,-1,1261
south-carolina-state,-1,1262
bethune-cookman,-1,1263
north-carolina-at,-1,1264
bethune-cookman,1,1265

jacksonville
Opponent,Location,gameid
florida-am,1,1266
